#node	identifier	category	term ID	term description
AKT1	9606.ENSP00000451828	GO Process	GO:0000003	Reproduction
AKT1	9606.ENSP00000451828	GO Process	GO:0000079	Regulation of cyclin-dependent protein serine/threonine kinase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0000271	Polysaccharide biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0000302	Response to reactive oxygen species
AKT1	9606.ENSP00000451828	GO Process	GO:0001503	Ossification
AKT1	9606.ENSP00000451828	GO Process	GO:0001525	Angiogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0001558	Regulation of cell growth
AKT1	9606.ENSP00000451828	GO Process	GO:0001568	Blood vessel development
AKT1	9606.ENSP00000451828	GO Process	GO:0001649	Osteoblast differentiation
AKT1	9606.ENSP00000451828	GO Process	GO:0001667	Ameboidal-type cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0001701	In utero embryonic development
AKT1	9606.ENSP00000451828	GO Process	GO:0001776	Leukocyte homeostasis
AKT1	9606.ENSP00000451828	GO Process	GO:0001890	Placenta development
AKT1	9606.ENSP00000451828	GO Process	GO:0001892	Embryonic placenta development
AKT1	9606.ENSP00000451828	GO Process	GO:0001893	Maternal placenta development
AKT1	9606.ENSP00000451828	GO Process	GO:0001932	Regulation of protein phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0001933	Negative regulation of protein phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0001934	Positive regulation of protein phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0001936	Regulation of endothelial cell proliferation
AKT1	9606.ENSP00000451828	GO Process	GO:0001938	Positive regulation of endothelial cell proliferation
AKT1	9606.ENSP00000451828	GO Process	GO:0001944	Vasculature development
AKT1	9606.ENSP00000451828	GO Process	GO:0002028	Regulation of sodium ion transport
AKT1	9606.ENSP00000451828	GO Process	GO:0002040	Sprouting angiogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0002042	Cell migration involved in sprouting angiogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0002237	Response to molecule of bacterial origin
AKT1	9606.ENSP00000451828	GO Process	GO:0002260	Lymphocyte homeostasis
AKT1	9606.ENSP00000451828	GO Process	GO:0002376	Immune system process
AKT1	9606.ENSP00000451828	GO Process	GO:0002682	Regulation of immune system process
AKT1	9606.ENSP00000451828	GO Process	GO:0002683	Negative regulation of immune system process
AKT1	9606.ENSP00000451828	GO Process	GO:0002684	Positive regulation of immune system process
AKT1	9606.ENSP00000451828	GO Process	GO:0002685	Regulation of leukocyte migration
AKT1	9606.ENSP00000451828	GO Process	GO:0002686	Negative regulation of leukocyte migration
AKT1	9606.ENSP00000451828	GO Process	GO:0002694	Regulation of leukocyte activation
AKT1	9606.ENSP00000451828	GO Process	GO:0002696	Positive regulation of leukocyte activation
AKT1	9606.ENSP00000451828	GO Process	GO:0003006	Developmental process involved in reproduction
AKT1	9606.ENSP00000451828	GO Process	GO:0003008	System process
AKT1	9606.ENSP00000451828	GO Process	GO:0003376	sphingosine-1-phosphate receptor signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0005975	Carbohydrate metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0005976	Polysaccharide metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0005977	Glycogen metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0005978	Glycogen biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0005979	Regulation of glycogen biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0005996	Monosaccharide metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006006	Glucose metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006073	Cellular glucan metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006091	Generation of precursor metabolites and energy
AKT1	9606.ENSP00000451828	GO Process	GO:0006109	Regulation of carbohydrate metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006112	Energy reserve metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006355	Regulation of transcription, DNA-templated
AKT1	9606.ENSP00000451828	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
AKT1	9606.ENSP00000451828	GO Process	GO:0006417	Regulation of translation
AKT1	9606.ENSP00000451828	GO Process	GO:0006468	Protein phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0006469	Negative regulation of protein kinase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0006508	Proteolysis
AKT1	9606.ENSP00000451828	GO Process	GO:0006511	Ubiquitin-dependent protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006606	Protein import into nucleus
AKT1	9606.ENSP00000451828	GO Process	GO:0006793	Phosphorus metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006796	Phosphate-containing compound metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006807	Nitrogen compound metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006809	Nitric oxide biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006810	Transport
AKT1	9606.ENSP00000451828	GO Process	GO:0006886	Intracellular protein transport
AKT1	9606.ENSP00000451828	GO Process	GO:0006913	Nucleocytoplasmic transport
AKT1	9606.ENSP00000451828	GO Process	GO:0006915	Apoptotic process
AKT1	9606.ENSP00000451828	GO Process	GO:0006924	Activation-induced cell death of T cells
AKT1	9606.ENSP00000451828	GO Process	GO:0006950	Response to stress
AKT1	9606.ENSP00000451828	GO Process	GO:0006952	Defense response
AKT1	9606.ENSP00000451828	GO Process	GO:0006954	Inflammatory response
AKT1	9606.ENSP00000451828	GO Process	GO:0006979	Response to oxidative stress
AKT1	9606.ENSP00000451828	GO Process	GO:0006996	Organelle organization
AKT1	9606.ENSP00000451828	GO Process	GO:0007005	Mitochondrion organization
AKT1	9606.ENSP00000451828	GO Process	GO:0007009	Plasma membrane organization
AKT1	9606.ENSP00000451828	GO Process	GO:0007154	Cell communication
AKT1	9606.ENSP00000451828	GO Process	GO:0007162	Negative regulation of cell adhesion
AKT1	9606.ENSP00000451828	GO Process	GO:0007165	Signal transduction
AKT1	9606.ENSP00000451828	GO Process	GO:0007166	Cell surface receptor signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0007167	Enzyme-linked receptor protein signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0007173	Epidermal growth factor receptor signaling pathway
