#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	SOS2	9606.ENSP00000451828	9606.ENSP00000216373	0	0	0	0	0.073	0.084	0	0.567	0.601
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	HGF	9606.ENSP00000451828	9606.ENSP00000222390	0	0	0	0	0	0.096	0.500	0.761	0.882
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	PLCG1	9606.ENSP00000451828	9606.ENSP00000244007	0	0	0	0	0.062	0.292	0	0.707	0.788
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	CDK4	9606.ENSP00000451828	9606.ENSP00000257904	0	0	0.112	0.601	0.068	0.231	0	0.572	0.691
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.610	0.962
AKT1	E2F3	9606.ENSP00000451828	9606.ENSP00000262904	0	0	0	0	0.062	0.057	0	0.507	0.526
AKT1	MAP2K2	9606.ENSP00000451828	9606.ENSP00000262948	0	0	0	0.630	0.157	0.161	0	0.471	0.593
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0.118	0.096	0.500	0.925	0.966
AKT1	EGF	9606.ENSP00000451828	9606.ENSP00000265171	0	0	0	0	0	0	0	0.933	0.933
AKT1	CDK6	9606.ENSP00000451828	9606.ENSP00000265734	0	0	0	0.603	0.042	0.228	0	0.307	0.443
AKT1	RB1	9606.ENSP00000451828	9606.ENSP00000267163	0	0	0	0	0.060	0.045	0	0.576	0.586
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.561	0.060	0.222	0	0.436	0.552
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.559	0.042	0.640	0	0.445	0.792
AKT1	ARAF	9606.ENSP00000451828	9606.ENSP00000290277	0	0	0.144	0.589	0.076	0.175	0	0.232	0.432
AKT1	BAX	9606.ENSP00000451828	9606.ENSP00000293288	0	0	0	0	0.160	0.292	0	0.631	0.761
AKT1	STAT5B	9606.ENSP00000451828	9606.ENSP00000293328	0	0	0	0	0.165	0.096	0	0.768	0.810
AKT1	MAP2K1	9606.ENSP00000451828	9606.ENSP00000302486	0	0	0.100	0.632	0.060	0.161	0	0.366	0.490
AKT1	MET	9606.ENSP00000451828	9606.ENSP00000317272	0	0	0	0.570	0	0.071	0	0.389	0.408
AKT1	EML4	9606.ENSP00000451828	9606.ENSP00000320663	0	0	0	0	0.079	0.067	0	0.572	0.601
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0.085	0.067	0.900	0.887	0.989
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000339527	0	0	0	0	0.103	0.853	0.900	0.928	0.998
AKT1	STAT5A	9606.ENSP00000451828	9606.ENSP00000341208	0	0	0	0	0.120	0.096	0	0.849	0.870
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0	0.082	0.744	0.095	0.918	0.900	0.926	0.999
AKT1	E2F1	9606.ENSP00000451828	9606.ENSP00000345571	0	0	0	0	0.094	0.057	0	0.782	0.797
AKT1	RASSF1	9606.ENSP00000451828	9606.ENSP00000349547	0	0	0	0	0.060	0.184	0	0.665	0.720
AKT1	E2F2	9606.ENSP00000451828	9606.ENSP00000355249	0	0	0	0	0.060	0.057	0	0.451	0.471
AKT1	NRAS	9606.ENSP00000451828	9606.ENSP00000358548	0	0	0	0	0.099	0.164	0	0.774	0.815
AKT1	GADD45A	9606.ENSP00000451828	9606.ENSP00000360025	0	0	0	0	0	0	0	0.479	0.479
AKT1	BAK1	9606.ENSP00000451828	9606.ENSP00000363591	0	0	0	0	0.062	0	0	0.412	0.425
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0.042	0.098	0.900	0.757	0.976
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT1	GRB2	9606.ENSP00000451828	9606.ENSP00000376345	0	0	0	0	0.049	0.100	0	0.900	0.907
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0.060	0.860	0.900	0.572	0.993
AKT1	SOS1	9606.ENSP00000451828	9606.ENSP00000384675	0	0	0	0	0.080	0.084	0	0.744	0.765
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.776	0.900	0.833	0.995
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0	0.145	0.583	0.075	0.816	0.900	0.557	0.992
AKT1	TGFA	9606.ENSP00000451828	9606.ENSP00000404131	0	0	0	0	0	0	0	0.764	0.764
AKT1	HRAS	9606.ENSP00000451828	9606.ENSP00000407586	0	0	0	0	0.103	0.110	0	0.880	0.896
AKT1	CDKN2A	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.042	0.229	0	0.834	0.866
AKT1	BRAF	9606.ENSP00000451828	9606.ENSP00000419060	0	0	0.131	0.586	0	0.631	0	0.376	0.783
AKT1	RXRA	9606.ENSP00000451828	9606.ENSP00000419692	0	0	0	0	0.099	0.071	0	0.554	0.595
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.058	0.558	0.900	0.913	0.995
AKT1	PRKCB	9606.ENSP00000451828	9606.ENSP00000496129	0	0	0	0.863	0.062	0.416	0	0.110	0.470
AKT1	RASSF5	9606.ENSP00000451828	9606.ENSP00000462099	0	0	0	0	0	0	0	0.554	0.554
AKT1	PLCG2	9606.ENSP00000451828	9606.ENSP00000482457	0	0	0	0	0.047	0	0	0.770	0.771
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0	0.050	0.981	0	0.592	0.900	0.057	0.958
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000501150	0	0	0	0	0.049	0.334	0.900	0.901	0.992
AKT2	MAPK1	9606.ENSP00000375892	9606.ENSP00000215832	0	0	0	0.592	0.083	0.110	0.900	0.240	0.929
AKT2	PIK3R2	9606.ENSP00000375892	9606.ENSP00000222254	0	0	0	0	0.074	0.093	0.900	0.615	0.963
AKT2	CCND1	9606.ENSP00000375892	9606.ENSP00000227507	0	0	0	0	0.081	0	0	0.705	0.717
AKT2	KRAS	9606.ENSP00000375892	9606.ENSP00000256078	0	0	0	0	0.081	0.148	0	0.584	0.646
AKT2	PIK3R3	9606.ENSP00000375892	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.528	0.953
AKT2	MAPK3	9606.ENSP00000375892	9606.ENSP00000263025	0	0	0	0.587	0.062	0.110	0.900	0.604	0.962
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0.841	0.984
AKT2	STAT3	9606.ENSP00000375892	9606.ENSP00000264657	0	0	0	0	0.145	0.096	0	0.460	0.546
AKT2	EGF	9606.ENSP00000375892	9606.ENSP00000265171	0	0	0	0	0	0	0	0.478	0.478
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0.072	0	0.900	0.734	0.973
AKT2	EGFR	9606.ENSP00000375892	9606.ENSP00000275493	0	0	0	0.561	0.042	0.175	0	0.549	0.612
AKT2	STAT5B	9606.ENSP00000375892	9606.ENSP00000293328	0	0	0	0	0.154	0.096	0	0.290	0.410
AKT2	CASP9	9606.ENSP00000375892	9606.ENSP00000330237	0	0	0	0	0.049	0.067	0.900	0.424	0.942
AKT2	FOXO3	9606.ENSP00000375892	9606.ENSP00000339527	0	0	0	0	0.049	0.312	0.900	0.740	0.980
AKT2	STAT5A	9606.ENSP00000375892	9606.ENSP00000341208	0	0	0	0	0.104	0.096	0	0.586	0.635
AKT2	PDPK1	9606.ENSP00000375892	9606.ENSP00000344220	0	0	0.089	0.753	0.162	0.464	0.900	0.213	0.962
AKT2	NRAS	9606.ENSP00000375892	9606.ENSP00000358548	0	0	0	0	0.074	0.110	0	0.441	0.499
AKT2	PIK3CD	9606.ENSP00000375892	9606.ENSP00000366563	0	0	0	0	0.042	0.286	0.900	0.520	0.962
AKT2	GRB2	9606.ENSP00000375892	9606.ENSP00000376345	0	0	0	0	0.049	0.100	0	0.397	0.439
AKT2	CDKN2A	9606.ENSP00000375892	9606.ENSP00000418915	0	0	0	0	0.042	0.095	0	0.433	0.465
AKT2	HRAS	9606.ENSP00000375892	9606.ENSP00000407586	0	0	0	0	0.076	0.110	0	0.442	0.501
AKT2	BAD	9606.ENSP00000375892	9606.ENSP00000378040	0	0	0	0	0.054	0.065	0.900	0.201	0.919
AKT2	RAF1	9606.ENSP00000375892	9606.ENSP00000401888	0	0	0.135	0.586	0.074	0.045	0.900	0.159	0.923
AKT2	CDKN1A	9606.ENSP00000375892	9606.ENSP00000384849	0	0	0	0	0	0.296	0.900	0.415	0.955
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0	0.051	0.979	0	0.162	0.900	0.617	0.965
AKT2	PIK3R1	9606.ENSP00000375892	9606.ENSP00000428056	0	0	0	0	0.066	0.093	0.900	0.789	0.979
AKT2	PIK3CB	9606.ENSP00000375892	9606.ENSP00000501150	0	0	0	0	0.048	0.276	0.900	0.783	0.983
AKT2	AKT1	9606.ENSP00000375892	9606.ENSP00000451828	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT3	MAPK1	9606.ENSP00000500582	9606.ENSP00000215832	0	0	0	0.601	0.085	0.110	0.900	0.218	0.927
AKT3	PIK3R2	9606.ENSP00000500582	9606.ENSP00000222254	0	0	0	0	0.067	0.093	0.900	0.657	0.967
AKT3	CCND1	9606.ENSP00000500582	9606.ENSP00000227507	0	0	0	0	0.081	0	0	0.537	0.557
AKT3	KRAS	9606.ENSP00000500582	9606.ENSP00000256078	0	0	0	0	0.079	0.110	0	0.513	0.566
AKT3	PIK3R3	9606.ENSP00000500582	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.733	0.973
AKT3	MAPK3	9606.ENSP00000500582	9606.ENSP00000263025	0	0	0	0.595	0.099	0.110	0.900	0.215	0.928
AKT3	PIK3CA	9606.ENSP00000500582	9606.ENSP00000263967	0	0	0	0	0.075	0.098	0.900	0.838	0.984
AKT3	STAT3	9606.ENSP00000500582	9606.ENSP00000264657	0	0	0	0	0.104	0.096	0	0.421	0.490
AKT3	EGF	9606.ENSP00000500582	9606.ENSP00000265171	0	0	0	0	0	0	0	0.405	0.405
AKT3	TP53	9606.ENSP00000500582	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.555	0.953
AKT3	CASP9	9606.ENSP00000500582	9606.ENSP00000330237	0	0	0	0	0	0.067	0.900	0.381	0.937
AKT3	FOXO3	9606.ENSP00000500582	9606.ENSP00000339527	0	0	0	0	0	0.312	0.900	0.546	0.966
AKT3	STAT5A	9606.ENSP00000500582	9606.ENSP00000341208	0	0	0	0	0.104	0.096	0	0.541	0.596
AKT3	PDPK1	9606.ENSP00000500582	9606.ENSP00000344220	0	0	0.085	0.747	0	0.275	0.900	0.192	0.939
AKT3	NRAS	9606.ENSP00000500582	9606.ENSP00000358548	0	0	0	0	0.074	0.110	0	0.514	0.564
AKT3	PIK3CD	9606.ENSP00000500582	9606.ENSP00000366563	0	0	0	0	0	0.098	0.900	0.494	0.950
AKT3	AKT2	9606.ENSP00000500582	9606.ENSP00000375892	0	0	0.051	0.979	0	0.162	0.900	0.617	0.965
AKT3	BAD	9606.ENSP00000500582	9606.ENSP00000378040	0	0	0	0	0	0.065	0.900	0.220	0.920
AKT3	SOS1	9606.ENSP00000500582	9606.ENSP00000384675	0	0	0	0	0.057	0.084	0	0.381	0.420
AKT3	CDKN1A	9606.ENSP00000500582	9606.ENSP00000384849	0	0	0	0	0	0.047	0.900	0.520	0.950
AKT3	RAF1	9606.ENSP00000500582	9606.ENSP00000401888	0	0	0.141	0.590	0	0.045	0.900	0.169	0.922
AKT3	HRAS	9606.ENSP00000500582	9606.ENSP00000407586	0	0	0	0	0.074	0.110	0	0.408	0.470
AKT3	CDKN2A	9606.ENSP00000500582	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.419	0.451
AKT3	PIK3R1	9606.ENSP00000500582	9606.ENSP00000428056	0	0	0	0	0.071	0.093	0.900	0.768	0.977
AKT3	AKT1	9606.ENSP00000500582	9606.ENSP00000451828	0	0	0.050	0.981	0	0.592	0.900	0.057	0.958
AKT3	PIK3CB	9606.ENSP00000500582	9606.ENSP00000501150	0	0	0	0	0	0.098	0.900	0.636	0.964
ALK	MAPK1	9606.ENSP00000373700	9606.ENSP00000215832	0	0	0	0	0.056	0.222	0	0.339	0.472
ALK	PIK3R2	9606.ENSP00000373700	9606.ENSP00000222254	0	0	0	0	0	0.180	0.900	0.188	0.927
ALK	HGF	9606.ENSP00000373700	9606.ENSP00000222390	0	0	0	0	0.047	0.096	0	0.676	0.696
ALK	CCND1	9606.ENSP00000373700	9606.ENSP00000227507	0	0	0	0	0	0	0	0.549	0.549
ALK	PLCG1	9606.ENSP00000373700	9606.ENSP00000244007	0	0	0	0	0	0.594	0.900	0.484	0.977
ALK	KRAS	9606.ENSP00000373700	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0.900	0.886	0.989
ALK	PIK3R3	9606.ENSP00000373700	9606.ENSP00000262741	0	0	0	0	0	0.093	0.900	0.134	0.914
ALK	MAPK3	9606.ENSP00000373700	9606.ENSP00000263025	0	0	0	0	0.056	0.110	0	0.492	0.536
ALK	PIK3CA	9606.ENSP00000373700	9606.ENSP00000263967	0	0	0	0	0	0.069	0.900	0.801	0.979
ALK	STAT3	9606.ENSP00000373700	9606.ENSP00000264657	0	0	0	0	0	0.210	0.500	0.752	0.893
ALK	EGF	9606.ENSP00000373700	9606.ENSP00000265171	0	0	0	0	0	0	0	0.545	0.545
ALK	TP53	9606.ENSP00000373700	9606.ENSP00000269305	0	0	0	0	0	0	0	0.772	0.772
ALK	ERBB2	9606.ENSP00000373700	9606.ENSP00000269571	0	0	0	0.568	0	0.620	0	0.433	0.775
ALK	EGFR	9606.ENSP00000373700	9606.ENSP00000275493	0	0	0	0.566	0	0.100	0	0.473	0.505
ALK	STAT5B	9606.ENSP00000373700	9606.ENSP00000293328	0	0	0	0	0	0.096	0	0.619	0.641
ALK	MAP2K1	9606.ENSP00000373700	9606.ENSP00000302486	0	0	0	0.566	0	0.161	0	0.365	0.445
ALK	EML4	9606.ENSP00000373700	9606.ENSP00000320663	0	0	0	0	0.074	0.067	0.900	0.997	0.999
ALK	STAT5A	9606.ENSP00000373700	9606.ENSP00000341208	0	0	0	0	0	0.096	0	0.586	0.610
ALK	NRAS	9606.ENSP00000373700	9606.ENSP00000358548	0	0	0	0	0.074	0.110	0.900	0.854	0.986
ALK	PIK3CD	9606.ENSP00000373700	9606.ENSP00000366563	0	0	0	0	0	0.069	0.900	0.284	0.927
ALK	BRAF	9606.ENSP00000373700	9606.ENSP00000419060	0	0	0	0.574	0	0	0	0.405	0.405
ALK	SOS1	9606.ENSP00000373700	9606.ENSP00000384675	0	0	0	0	0	0.163	0	0.390	0.467
ALK	CDKN2A	9606.ENSP00000373700	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.644	0.664
ALK	PLCG2	9606.ENSP00000373700	9606.ENSP00000482457	0	0	0	0	0	0	0.900	0.191	0.915
ALK	PIK3CB	9606.ENSP00000373700	9606.ENSP00000501150	0	0	0	0	0	0.186	0.900	0.275	0.935
ALK	JAK3	9606.ENSP00000373700	9606.ENSP00000432511	0	0	0	0.560	0	0.369	0.900	0.282	0.950
ALK	GRB2	9606.ENSP00000373700	9606.ENSP00000376345	0	0	0	0	0	0.688	0.500	0.794	0.965
ALK	HRAS	9606.ENSP00000373700	9606.ENSP00000407586	0	0	0	0	0.074	0.110	0.900	0.638	0.966
ALK	PIK3R1	9606.ENSP00000373700	9606.ENSP00000428056	0	0	0	0	0	0.378	0.900	0.606	0.973
ARAF	MAPK1	9606.ENSP00000290277	9606.ENSP00000215832	0	0	0	0.592	0.094	0.110	0.500	0.251	0.657
ARAF	SOS2	9606.ENSP00000290277	9606.ENSP00000216373	0	0	0	0	0.064	0.084	0	0.523	0.556
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0	0	0	0.079	0.745	0.900	0.864	0.996
ARAF	MAP2K2	9606.ENSP00000290277	9606.ENSP00000262948	0	0	0	0.575	0.126	0.925	0.900	0.572	0.996
ARAF	MAPK3	9606.ENSP00000290277	9606.ENSP00000263025	0	0	0	0.592	0.118	0.110	0.500	0.265	0.673
ARAF	PRKCG	9606.ENSP00000290277	9606.ENSP00000263431	0	0	0	0.561	0	0.050	0.900	0.060	0.902
ARAF	PIK3CA	9606.ENSP00000290277	9606.ENSP00000263967	0	0	0	0	0.059	0.327	0	0.553	0.692
ARAF	TP53	9606.ENSP00000290277	9606.ENSP00000269305	0	0	0	0	0.088	0.192	0	0.431	0.544
ARAF	EGFR	9606.ENSP00000290277	9606.ENSP00000275493	0	0	0	0.583	0.042	0.102	0	0.552	0.581
ARAF	BAD	9606.ENSP00000290277	9606.ENSP00000378040	0	0	0	0	0.049	0.298	0	0.189	0.412
ARAF	CDKN2A	9606.ENSP00000290277	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.378	0.413
ARAF	AKT1	9606.ENSP00000290277	9606.ENSP00000451828	0	0	0.144	0.589	0.076	0.175	0	0.232	0.432
ARAF	GRB2	9606.ENSP00000290277	9606.ENSP00000376345	0	0	0	0	0.060	0.100	0	0.555	0.591
ARAF	SOS1	9606.ENSP00000290277	9606.ENSP00000384675	0	0	0	0	0.064	0.084	0	0.584	0.612
ARAF	PIK3CB	9606.ENSP00000290277	9606.ENSP00000501150	0	0	0	0	0.059	0.069	0	0.636	0.654
ARAF	PIK3R1	9606.ENSP00000290277	9606.ENSP00000428056	0	0	0	0	0.042	0.536	0	0.576	0.795
ARAF	PRKCB	9606.ENSP00000290277	9606.ENSP00000496129	0	0	0	0.578	0.042	0.050	0.900	0.076	0.904
ARAF	PRKCA	9606.ENSP00000290277	9606.ENSP00000408695	0	0	0	0.579	0.044	0.050	0.900	0.077	0.904
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0	0	0.577	0.109	0.911	0.900	0.372	0.994
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0	0	0	0.081	0.568	0.900	0.885	0.994
